time_years,nuclei_count,fraction_remaining,activity,ln_atoms
24.3,6,0.06,-0.0,1.791759469228055
24.4,6,0.06,-0.0,1.791759469228055
24.5,6,0.06,-0.0,1.791759469228055
24.6,6,0.06,-0.0,1.791759469228055
24.700000000000003,6,0.06,-0.0,1.791759469228055
24.8,6,0.06,-0.0,1.791759469228055
24.9,6,0.06,-0.0,1.791759469228055
25.0,6,0.06,-0.0,1.791759469228055
25.1,6,0.06,-0.0,1.791759469228055
25.200000000000003,6,0.06,-0.0,1.791759469228055
25.3,6,0.06,-0.0,1.791759469228055
25.4,6,0.06,-0.0,1.791759469228055
25.5,6,0.06,-0.0,1.791759469228055
25.6,6,0.06,-0.0,1.791759469228055
25.700000000000003,6,0.06,5.000000000000195,1.791759469228055
25.8,5,0.05,5.000000000000107,1.6094379124341003
25.9,5,0.05,-0.0,1.6094379124341003
26.0,5,0.05,-0.0,1.6094379124341003
26.1,5,0.05,-0.0,1.6094379124341003
26.200000000000003,5,0.05,-0.0,1.6094379124341003
26.3,5,0.05,-0.0,1.6094379124341003
26.4,5,0.05,-0.0,1.6094379124341003
26.5,5,0.05,-0.0,1.6094379124341003
26.6,5,0.05,-0.0,1.6094379124341003
26.700000000000003,5,0.05,-0.0,1.6094379124341003
26.8,5,0.05,-0.0,1.6094379124341003
26.9,5,0.05,-0.0,1.6094379124341003
27.0,5,0.05,-0.0,1.6094379124341003
27.1,5,0.05,-0.0,1.6094379124341003
27.200000000000003,5,0.05,-0.0,1.6094379124341003
27.3,5,0.05,-0.0,1.6094379124341003
27.4,5,0.05,-0.0,1.6094379124341003
27.5,5,0.05,-0.0,1.6094379124341003
27.6,5,0.05,-0.0,1.6094379124341003
27.700000000000003,5,0.05,-0.0,1.6094379124341003
27.8,5,0.05,-0.0,1.6094379124341003
27.9,5,0.05,-0.0,1.6094379124341003
28.0,5,0.05,-0.0,1.6094379124341003
28.1,5,0.05,-0.0,1.6094379124341003
28.200000000000003,5,0.05,-0.0,1.6094379124341003
28.3,5,0.05,-0.0,1.6094379124341003
28.4,5,0.05,-0.0,1.6094379124341003
28.5,5,0.05,-0.0,1.6094379124341003
28.6,5,0.05,-0.0,1.6094379124341003
28.700000000000003,5,0.05,-0.0,1.6094379124341003
28.8,5,0.05,-0.0,1.6094379124341003
28.9,5,0.05,-0.0,1.6094379124341003
29.0,5,0.05,-0.0,1.6094379124341003
29.1,5,0.05,-0.0,1.6094379124341003
29.200000000000003,5,0.05,-0.0,1.6094379124341003
29.3,5,0.05,-0.0,1.6094379124341003
29.4,5,0.05,-0.0,1.6094379124341003
29.5,5,0.05,-0.0,1.6094379124341003
29.6,5,0.05,-0.0,1.6094379124341003
29.700000000000003,5,0.05,-0.0,1.6094379124341003
29.8,5,0.05,-0.0,1.6094379124341003
29.9,5,0.05,-0.0,1.6094379124341003
30.0,5,0.05,-0.0,1.6094379124341003
30.1,5,0.05,-0.0,1.6094379124341003
30.200000000000003,5,0.05,-0.0,1.6094379124341003
30.3,5,0.05,-0.0,1.6094379124341003
30.4,5,0.05,4.99999999999984,1.6094379124341003
30.5,4,0.04,4.999999999999929,1.3862943611198906
30.6,4,0.04,-0.0,1.3862943611198906
30.700000000000003,4,0.04,-0.0,1.3862943611198906
30.8,4,0.04,5.000000000000107,1.3862943611198906
30.9,3,0.03,5.000000000000195,1.0986122886681098
31.0,3,0.03,-0.0,1.0986122886681098
31.1,3,0.03,-0.0,1.0986122886681098
31.200000000000003,3,0.03,-0.0,1.0986122886681098
31.3,3,0.03,-0.0,1.0986122886681098
31.4,3,0.03,-0.0,1.0986122886681098
31.5,3,0.03,-0.0,1.0986122886681098
31.6,3,0.03,-0.0,1.0986122886681098
31.700000000000003,3,0.03,-0.0,1.0986122886681098
31.8,3,0.03,-0.0,1.0986122886681098
31.9,3,0.03,-0.0,1.0986122886681098
32.0,3,0.03,-0.0,1.0986122886681098
32.1,3,0.03,-0.0,1.0986122886681098
32.2,3,0.03,4.999999999999929,1.0986122886681098
32.300000000000004,2,0.02,4.999999999999751,0.6931471805599453
32.4,2,0.02,-0.0,0.6931471805599453
32.5,2,0.02,-0.0,0.6931471805599453
32.6,2,0.02,-0.0,0.6931471805599453
32.7,2,0.02,-0.0,0.6931471805599453
32.800000000000004,2,0.02,-0.0,0.6931471805599453
32.9,2,0.02,-0.0,0.6931471805599453
33.0,2,0.02,-0.0,0.6931471805599453
33.1,2,0.02,-0.0,0.6931471805599453
33.2,2,0.02,-0.0,0.6931471805599453
33.300000000000004,2,0.02,5.000000000000462,0.6931471805599453
33.4,1,0.01,5.000000000000462,0.0
33.5,1,0.01,-0.0,0.0
