time_years,nuclei_count
18.1,4699
18.2,4635
18.3,4566
18.400000000000002,4503
18.5,4431
18.6,4366
18.7,4309
18.8,4253
18.900000000000002,4203
19.0,4156
19.1,4097
19.200000000000003,4044
19.3,3992
19.400000000000002,3939
19.5,3888
19.6,3841
19.700000000000003,3788
19.8,3750
19.900000000000002,3701
20.0,3654
20.1,3606
20.200000000000003,3548
20.3,3501
20.400000000000002,3457
20.5,3410
20.6,3376
20.700000000000003,3345
20.8,3316
20.900000000000002,3270
21.0,3221
21.1,3171
21.200000000000003,3126
21.3,3077
21.400000000000002,3030
21.5,2990
21.6,2947
21.700000000000003,2900
21.8,2854
21.900000000000002,2812
22.0,2779
22.1,2738
22.200000000000003,2707
22.3,2677
22.400000000000002,2646
22.5,2603
22.6,2564
22.700000000000003,2535
22.8,2496
22.900000000000002,2466
23.0,2435
23.1,2392
23.200000000000003,2366
23.3,2338
23.400000000000002,2299
23.5,2270
23.6,2242
23.700000000000003,2217
23.8,2184
23.900000000000002,2154
24.0,2129
24.1,2103
24.200000000000003,2085
24.3,2059
24.400000000000002,2033
24.5,2009
24.6,1984
24.700000000000003,1954
24.8,1933
24.900000000000002,1905
25.0,1877
25.1,1858
25.200000000000003,1841
25.3,1813
25.400000000000002,1795
25.5,1774
25.6,1749
25.700000000000003,1719
25.8,1699
25.900000000000002,1679
26.0,1661
26.1,1641
26.200000000000003,1609
26.3,1578
26.400000000000002,1563
26.5,1545
26.6,1533
26.700000000000003,1520
26.8,1498
26.900000000000002,1477
27.0,1459
27.1,1442
27.200000000000003,1426
27.3,1407
27.400000000000002,1393
27.5,1377
27.6,1364
27.700000000000003,1354
27.8,1338
27.900000000000002,1324
28.0,1310
28.1,1299
28.200000000000003,1284
28.3,1263
28.400000000000002,1250
28.5,1229
28.6,1216
28.700000000000003,1204
28.8,1191
28.900000000000002,1179
29.0,1160
29.1,1144
29.200000000000003,1123
29.3,1101
29.400000000000002,1086
29.5,1068
29.6,1052
29.700000000000003,1039
29.8,1028
29.900000000000002,1018
30.0,995
30.1,985
30.200000000000003,968
30.3,947
30.400000000000002,933
30.5,913
30.6,905
30.700000000000003,889
30.8,878
30.900000000000002,867
31.0,859
31.1,852
31.200000000000003,845
31.3,820
31.400000000000002,816
31.5,802
31.6,791
31.700000000000003,774
31.8,764
31.900000000000002,752
32.0,746
32.1,741
32.2,734
32.300000000000004,728
32.4,718
32.5,708
32.6,699
32.7,684
32.800000000000004,673
32.9,663
33.0,655
33.1,645
33.2,636
33.300000000000004,626
33.4,618
33.5,613
33.6,608
33.7,603
33.800000000000004,589
33.9,581
34.0,571
34.1,564
34.2,555
34.300000000000004,547
34.4,541
34.5,533
34.6,524
34.7,519
34.800000000000004,514
34.9,510
35.0,505
35.1,498
35.2,490
35.300000000000004,478
35.4,472
35.5,462
35.6,458
35.7,452
35.800000000000004,445
35.9,439
36.0,430
36.1,422
36.2,414
36.300000000000004,408
36.4,404
36.5,401
36.6,389
36.7,385
36.800000000000004,385
36.9,380
37.0,371
37.1,366
37.2,356
37.300000000000004,352
37.4,347
37.5,341
37.6,339
37.7,334
37.800000000000004,333
37.9,331
38.0,330
38.1,325
38.2,321
38.300000000000004,318
38.400000000000006,315
38.5,308
38.6,305
38.7,300
38.800000000000004,296
38.900000000000006,293
39.0,291
39.1,291
39.2,286
39.300000000000004,284
39.400000000000006,279
39.5,275
39.6,271
39.7,265
39.800000000000004,263
39.900000000000006,257
