time_years,nuclei_count
25.5,1672
25.6,1651
25.700000000000003,1633
25.8,1609
25.900000000000002,1584
26.0,1563
26.1,1539
26.200000000000003,1518
26.3,1503
26.400000000000002,1491
26.5,1470
26.6,1451
26.700000000000003,1430
26.8,1408
26.900000000000002,1386
27.0,1370
27.1,1355
27.200000000000003,1337
27.3,1323
27.400000000000002,1305
27.5,1293
27.6,1274
27.700000000000003,1259
27.8,1250
27.900000000000002,1236
28.0,1216
28.1,1199
28.200000000000003,1192
28.3,1171
28.400000000000002,1155
28.5,1141
28.6,1126
28.700000000000003,1114
28.8,1103
28.900000000000002,1092
29.0,1077
29.1,1055
29.200000000000003,1037
29.3,1026
29.400000000000002,1010
29.5,993
29.6,981
29.700000000000003,965
29.8,958
29.900000000000002,946
30.0,932
30.1,920
30.200000000000003,914
30.3,898
30.400000000000002,882
30.5,860
30.6,852
30.700000000000003,845
30.8,825
30.900000000000002,817
31.0,808
31.1,794
31.200000000000003,788
31.3,779
31.400000000000002,773
31.5,764
31.6,756
31.700000000000003,750
31.8,742
31.900000000000002,737
32.0,728
32.1,714
32.2,705
32.300000000000004,697
32.4,687
32.5,674
32.6,669
32.7,660
32.800000000000004,651
32.9,634
33.0,624
33.1,613
33.2,600
33.300000000000004,592
33.4,584
33.5,574
33.6,563
33.7,557
33.800000000000004,551
33.9,543
34.0,536
34.1,528
34.2,518
34.300000000000004,512
34.4,510
34.5,501
34.6,491
34.7,484
34.800000000000004,476
34.9,466
35.0,450
35.1,443
35.2,435
35.300000000000004,431
35.4,417
35.5,411
35.6,403
35.7,399
35.800000000000004,393
35.9,389
36.0,383
36.1,374
36.2,371
36.300000000000004,364
36.4,358
36.5,354
36.6,352
36.7,347
36.800000000000004,343
36.9,336
37.0,331
37.1,328
37.2,325
37.300000000000004,321
37.4,317
37.5,309
37.6,303
37.7,296
37.800000000000004,288
37.9,286
38.0,282
38.1,274
38.2,272
38.300000000000004,272
38.400000000000006,271
38.5,267
38.6,259
38.7,256
38.800000000000004,255
38.900000000000006,255
39.0,252
39.1,248
39.2,244
39.300000000000004,241
39.400000000000006,241
39.5,236
39.6,233
39.7,229
39.800000000000004,221
39.900000000000006,220
